timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,solar_zenith,solar_azimuth,poa_global,cell_temperature,dc_power_w,ac_power_w,PV_Power_kW
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,6.55,52.59,1.79,47.0,99.51,0.0,112.14961777152969,105.05028021775581,0.0,6.55,0.0,0.0,0.0
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,5.87,55.12,1.96,54.4,99.5,0.0,99.6364620925873,111.09329797504643,0.0,5.87,0.0,0.0,0.0
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,5.43,56.64,2.0,63.3,99.5,0.0,87.40396911434976,117.9540896584428,0.0,5.43,0.0,0.0,0.0
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,5.2,57.38,1.93,73.4,99.5,0.0,76.42518436042123,126.14076778331577,0.0,5.2,0.0,0.0,0.0
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,4.99,58.06,1.86,83.5,99.53,0.0,66.53116392594208,136.25898266824595,0.0,4.99,0.0,0.0,0.0
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,4.76,58.86,1.85,92.5,99.6,0.0,58.51617116332761,148.9229370996635,0.0,4.76,0.0,0.0,0.0
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,4.57,59.88,1.88,100.4,99.68,0.0,53.26803368622652,164.34937927877434,0.0,4.57,0.0,0.0,0.0
2020-01-01 07:00:00+00:00,75.43,84.87,61.95,5.55,60.2,1.74,108.1,99.77,0.0,51.648994396640276,181.64602784550078,137.15768770984607,9.26684934284275,728.946889839757,588.8722227053389,0.5888722227053389
2020-01-01 08:00:00+00:00,217.77,266.42,146.75,8.26,49.73,2.32,114.5,99.85,0.0,53.98934804352223,198.72914807775996,375.4684730717681,17.447166568917318,1934.0593820735207,1597.7216817847482,1.5977216817847482
2020-01-01 09:00:00+00:00,368.52,395.1,185.82,11.14,42.09,2.39,116.4,99.92,0.0,59.82264961008461,213.6695780521159,489.14807395604873,22.970144287843762,2465.598370020442,2040.132685413283,2.040132685413283
2020-01-01 10:00:00+00:00,475.15,416.99,223.76,15.34,31.44,3.25,117.7,99.91,0.0,68.24876893315866,225.82634032740378,480.7590158071997,25.519102600194785,2398.8038139325467,1984.6243454748305,1.9846243454748305
2020-01-01 11:00:00+00:00,425.67,221.14,244.71,17.45,27.78,3.43,112.6,99.82,0.0,78.40834510002095,235.5402315796867,333.39538219293604,24.329635299846807,1671.446840873005,1378.5648935420656,1.3785648935420656
2020-01-01 12:00:00+00:00,419.92,214.37,257.16,18.89,25.13,3.52,109.1,99.71,0.0,89.38428599179178,243.44262189695763,295.280663370738,24.906705721863243,1476.9542767804285,1216.009174314687,1.216009174314687
2020-01-01 13:00:00+00:00,378.33,215.0,242.86,19.62,23.92,3.49,108.4,99.63,0.0,101.92636669341303,250.12247706611782,234.18188085006977,24.411778473593454,1173.6644207185566,962.1022763449863,0.9621022763449864
2020-01-01 14:00:00+00:00,295.67,163.5,216.1,19.49,24.53,3.3,108.0,99.58,0.0,114.51701411164144,256.07420848676725,207.7785980608322,23.857665813100816,1043.6400422215784,853.0926391058013,0.8530926391058012
2020-01-01 15:00:00+00:00,159.88,81.94,134.67,17.97,35.17,2.18,107.6,99.57,0.0,127.42856724550936,261.76690577654966,129.1275685218702,21.205371738305793,655.4376650268898,527.0737238289441,0.5270737238289441
2020-01-01 16:00:00+00:00,38.22,13.38,36.25,14.36,46.62,2.27,108.5,99.59,0.0,140.52904815906214,267.8282805450373,34.68764299568453,15.215918626580054,180.22594941286098,126.8440130807343,0.12684401308073429
2020-01-01 17:00:00+00:00,0.0,0.0,0.0,12.62,45.6,2.41,110.2,99.65,0.0,153.67664975680822,275.67084795822007,0.0,12.62,0.0,0.0,0.0
2020-01-01 18:00:00+00:00,0.0,0.0,0.0,11.85,48.25,2.42,111.4,99.75,0.0,166.50158901500123,291.45580867106105,0.0,11.85,0.0,0.0,0.0
2020-01-01 19:00:00+00:00,0.0,0.0,0.0,11.13,50.88,2.44,110.7,99.8,0.0,174.2535335049813,12.45035876170175,0.0,11.13,0.0,0.0,0.0
2020-01-01 20:00:00+00:00,0.0,0.0,0.0,10.2,54.53,2.53,106.5,99.84,0.0,164.27157631732555,72.80223161776286,0.0,10.2,0.0,0.0,0.0
2020-01-01 21:00:00+00:00,0.0,0.0,0.0,9.12,60.71,2.72,102.3,99.84,0.0,151.3216036379748,85.9712602717608,0.0,9.12,0.0,0.0,0.0
2020-01-01 22:00:00+00:00,0.0,0.0,0.0,8.08,67.79,2.92,101.7,99.82,0.0,138.16623336862273,93.29768130316614,0.0,8.08,0.0,0.0,0.0
2020-01-01 23:00:00+00:00,0.0,0.0,0.0,7.24,74.58,3.05,105.0,99.78,0.0,125.08743980448672,99.2255334099525,0.0,7.24,0.0,0.0,0.0
